tract_id,median_rent,median_value,median_income,median_year_built,avg_household_size
36005000100,,,,,
36005000100,,,,,
36005000200,1237,394800,70893,1958,4
36005000400,1390,353500,76667,1993,3
36005001600,945,376400,31540,1974,3
36005001900,1134,374400,39130,1985,2
36005002000,610,378500,17083,1953,3
36005002300,417,,16503,1956,2
36005002400,,,,,5
36005002500,692,475000,21060,1943,3
36005002701,447,,18409,1952,3
36005002702,963,437100,16000,1948,3
36005002800,937,254700,49180,1966,2
36005003100,1025,58100,45101,1939,3
36005003300,626,406300,20268,1939,3
36005003500,880,420000,26066,1939,3
36005003700,930,,,1960,2
36005003800,911,350000,30694,1969,3
36005003900,1067,245000,28537,1939,3
36005004001,1057,409500,49709,1956,3
36005004100,538,342900,18394,1956,3
36005004200,815,,23250,1963,3
36005004300,786,439900,21551,1956,3
36005004400,480,362500,20725,1953,3
36005004600,808,135200,40625,1966,3
36005004800,1095,,30179,1950,3
36005005001,1291,381800,27283,1954,3
36005005002,1168,554900,28010,1939,3
36005005100,522,,19657,1953,3
36005005200,660,265000,18917,1954,3
36005005300,946,,15141,1973,3
36005005400,1204,424800,29857,1939,4
36005005600,1056,424000,18918,1941,3
36005005902,1256,206800,29908,1939,3
36005006000,1118,370800,39783,1939,4
36005006100,1011,23100,42713,1964,2
36005006200,703,,24835,1956,3
36005006300,1162,222800,31926,1939,2
36005006400,1203,541300,27917,1952,3
36005006500,984,,22365,1971,3
36005006700,696,349200,20945,1951,3
36005006800,1228,404400,47863,1955,3
36005006900,873,574100,26513,1966,3
36005007000,1288,421500,33412,1951,4
36005007100,1011,223400,37744,1997,3
36005007200,1142,333300,35032,1943,3
36005007300,964,,19925,1950,3
36005007400,1275,362600,39375,1969,3
36005007500,793,308000,26401,1958,3
36005007600,1226,518800,34778,1941,3
36005007700,1221,353300,30912,1979,3
36005007800,1308,411900,40083,1951,3
36005007900,703,,25651,1943,3
36005008300,889,405600,22704,1939,3
36005008400,1471,442500,66958,1968,4
36005008500,1003,251100,28403,1939,3
36005008600,408,391000,21747,1957,3
36005008700,1027,335700,29152,1955,3
36005008900,929,56600,26711,1939,3
36005009000,438,409400,28631,1957,3
36005009200,1276,465400,38708,1946,3
36005009300,1157,372000,30811,1939,3
36005009600,1526,400600,47250,1949,3
36005009800,1386,413100,54007,1961,3
36005011000,1406,,,1939,3
36005011502,998,395000,22321,1939,3
36005011700,1094,9999,26500,1939,3
36005011800,1752,408500,85048,1951,3
36005011900,941,,23224,1939,3
36005012101,1013,407500,29294,1939,3
36005012102,495,,18692,1939,3
36005012300,663,432700,24474,1960,3
36005012500,1089,431600,28359,1981,3
36005012701,733,339100,18777,1939,3
36005012901,942,543300,20243,1984,3
36005013000,1429,437900,76488,1957,3
36005013100,901,397100,29114,1962,3
36005013200,1309,451900,100258,1962,3
36005013300,675,,21731,1954,3
36005013500,702,313700,25947,1948,3
36005013800,1273,279700,70598,1950,2
36005014100,1074,251500,30408,2001,3
36005014300,541,322500,16793,1970,2
36005014400,567,472000,24034,1960,3
36005014500,902,,24301,1961,3
36005014701,436,,16170,1955,3
36005014702,500,,18276,1952,3
36005014900,981,,25057,1939,3
36005015100,1035,415500,32782,1939,3
36005015200,1399,440400,70441,1952,3
36005015300,1097,374000,18655,1988,3
36005015500,764,481800,17438,1941,3
36005015700,1004,453000,33661,1985,3
36005015800,1608,426100,67115,1960,3
36005015900,387,,15033,1968,3
36005016000,1692,432800,80500,1960,3
36005016100,455,,15625,1967,3
36005016200,1233,417000,70813,1941,3
36005016300,,,,,
36005016400,1295,474400,65000,1939,2
36005016500,1063,423100,25431,1941,3
36005016600,1594,445300,68864,1957,3
36005016700,1039,404500,26250,1976,3
36005016900,819,445300,25000,1965,2
36005017100,,,,,
36005017300,788,433300,17500,1947,3
