"tract_id","median_rent","median_value","median_income","median_year_built","avg_household_size"
"34003001000",1693,680000,151641,1963,3
"34003002100",1188,2000001,114545,1978,3
"34003002200",1517,453800,90647,1962,3
"34003002300",1663,610000,112031,1975,3
"34003003100",1197,301900,76906,1953,3
"34003003200",1198,322400,69531,1955,3
"34003003300",1701,328100,97957,1952,3
"34003003401",1435,385200,122650,1954,4
"34003003402",1489,356100,105776,1952,4
"34003003500",1230,340200,52382,1954,3
"34003004001",1365,331300,76979,1939,3
"34003004002",1172,299700,78306,1944,3
"34003005000",1225,386200,84268,1954,3
"34003006100",1216,416900,63071,1951,3
"34003006201",1207,429500,49883,1955,2
"34003006202",1696,405900,81273,1974,2
"34003006300",1273,412300,54788,1956,2
"34003007001",1857,514100,100250,1955,3
"34003007002",2608,745300,143780,1966,3
"34003008000",2054,540700,117164,1960,3
"34003009100",3375,652800,150139,1958,3
"34003009200",3341,644700,168371,1955,3
"34003010100",1274,364200,98987,1951,3
"34003010200",1179,348600,75550,1946,3
"34003010300",1118,356700,106750,1953,3
"34003011100",1190,326100,68442,1952,3
"34003011200",1523,353400,69310,1955,3
"34003011300",1724,343300,88045,1956,3
"34003011400",1616,375100,76709,1961,3
"34003012001",1393,410500,70769,1953,3
"34003012002",1375,362500,81033,1959,2
"34003013001",2457,617000,117681,2001,2
"34003013002",1769,477900,85288,1975,2
"34003014000",1707,465000,109613,1959,3
"34003015100",1432,895100,138654,1939,3
"34003015200",1294,351200,72315,1949,3
"34003015300",1260,299800,66817,1953,3
"34003015400",2028,309400,66483,1977,3
"34003015500",1491,593900,112723,1963,2
"34003016000",3255,984700,131936,1968,3
"34003017100",1260,450600,126265,1954,3
"34003017200",1498,354600,83463,1955,2
"34003017300",1198,389600,117386,1950,3
"34003017400",1720,410100,108667,1955,3
"34003017500",1721,372300,90527,1952,3
"34003018100",1162,357800,49615,1947,3
"34003018200",1275,348300,62347,1962,3
"34003019102",1744,242000,85699,1966,2
"34003019103",1984,115200,65852,1959,2
"34003019104",1527,277200,65972,1963,2
"34003019202",1402,380000,67250,1975,2
"34003019203",1168,189700,54122,1965,2
"34003019204",960,253700,60357,1974,2
"34003019303",1773,456700,64636,1970,2
"34003019304",1561,599900,75208,1955,3
"34003019305",2095,390600,101969,1975,2
"34003019306",2027,759500,127614,1984,2
"34003020100",2221,786400,143871,1976,3
"34003020200",2922,1023600,182763,1976,3
"34003021100",1304,363900,47112,1956,3
"34003021200",1202,333700,57237,1957,3
"34003021300",1180,315900,50918,1952,3
"34003021400",1268,343400,48419,1961,3
"34003021500",1186,325000,39627,1952,3
"34003021600",1192,265400,46513,1952,3
"34003022100",1417,614700,159091,1948,3
"34003022200",3033,608800,159375,1953,3
"34003023100",1393,258500,55886,1960,3
"34003023200",1288,300900,51739,1962,2
"34003023301",1696,355300,108421,1952,3
"34003023302",1463,226700,60838,1974,2
"34003023401",1394,,71197,1971,2
"34003023402",1247,336500,48615,1965,3
"34003023501",1142,238600,52337,1953,2
"34003023502",1535,219000,60091,1972,2
"34003023601",1171,270200,56471,1960,2
"34003023602",1203,303000,46667,1956,3
"34003024100",2125,740400,133750,1975,3
"34003024200",1697,600900,136313,1959,3
"34003025100",1339,369400,75000,1955,3
"34003025200",1358,428200,102935,1950,3
"34003026100",1236,498900,119853,1957,3
"34003026200",1511,530400,114485,1957,3
"34003027000",2375,716800,163988,1954,3
"34003028001",1429,453100,74077,1950,3
"34003028002",1321,503000,101761,1946,3
"34003029100",1360,291400,52331,1967,3
"34003029200",1220,344400,71815,1961,3
"34003030100",1112,354800,51331,1962,3
"34003030200",1242,377400,45235,1958,3
"34003030300",1270,338600,52292,1956,3
"34003030400",1119,331700,62198,1957,3
"34003031100",1394,370700,69669,1956,2
"34003031200",1071,347400,60975,1950,2
"34003031300",1211,365200,74572,1954,3
"34003031400",1270,361800,72021,1955,3
"34003032102",2196,749400,121154,1979,3
"34003032103",1936,360600,101543,1987,2
"34003032104",1183,410700,99185,1975,3
"34003032201",1804,569400,117241,1986,3
"34003032202",1567,416000,85764,1973,2
"34003033100",2327,372400,100948,1950,3
"34003033200",1410,370100,101250,1949,3
"34003033300",1283,379100,61631,1956,2
"34003034000",1514,456000,99436,1952,3
"34003035100",1709,600500,111436,1968,3
"34003035200",2411,756100,150862,1968,3
"34003036100",1404,378800,63897,1961,3
"34003036200",990,341700,53462,1963,3
"34003037100",1363,401800,91641,1955,3
"34003037201",,390000,111719,1955,3
"34003037202",1241,391300,69158,1953,2
"34003038100",1212,344300,72917,1955,3
"34003038200",1298,328000,70017,1948,2
"34003038300",1285,359000,85125,1955,3
"34003039100",1434,441700,89779,1962,3
"34003039200",2063,434200,122586,1959,3
"34003039300",2550,447200,121000,1959,3
"34003040001",,621900,178827,1958,3
"34003040002",1323,494100,114946,1956,3
"34003041100",1307,481600,53347,1970,3
"34003041200",1488,572000,73435,1972,3
"34003041301",1303,509900,57629,1961,3
"34003041302",1772,471700,71791,1980,3
"34003042100",,495800,91386,1958,3
"34003042301",1997,570400,95441,1964,3
"34003042302",,588300,116549,1961,3
"34003042400",2422,592800,117381,1960,3
"34003042500",1601,611300,105341,1976,3
"34003043001",1852,584200,113750,1964,3
"34003043002",1436,485700,97404,1967,3
"34003044100",721,669500,175795,1962,3
"34003044201",1788,586000,160602,1962,3
"34003044202",1366,395600,107660,1976,2
"34003045100",1457,465500,72546,1957,3
"34003045200",1371,427300,65735,1949,3
"34003046100",1225,339100,60765,1945,3
"34003046200",1361,325400,88705,1939,3
"34003046300",1300,295200,62250,1945,3
"34003047100",2898,622200,142434,1953,3
"34003047200",,903800,189792,1942,3
"34003047300",3501,1033800,250001,1939,3
"34003047400",1708,728900,109500,1939,3
"34003047500",2706,644200,166563,1950,3
"34003048100",1405,446700,78618,1953,3
"34003048200",1241,475300,150679,1949,3
"34003049001",,657400,159495,1965,3
"34003049002",1705,534900,122602,1968,3
"34003050000",1475,351300,76354,1953,3
"34003051100",1256,435300,81149,1949,3
"34003051200",1394,448800,110536,1942,3
"34003051300",1363,417400,75862,1951,2
"34003051400",1430,433400,105639,1947,3
"34003052100",1444,370800,82690,1957,3
"34003052200",1444,354200,96740,1959,3
"34003053100",1455,1784500,131845,1982,3
"34003053200",2414,905100,171747,1972,3
"34003054100",1673,375100,83750,1954,3
